ID_calle,Nombre,CP,ID_ciudad
1,Miles Springs,85440,10
2,Chelsea Extension,70511,5
3,Frank Light,35883,13
4,Gabrielle Ville,07832,14
5,Lydia Valley,41848,1
6,Adams Forest,74842,13
7,Lewis Parks,52357,13
8,Thomas Dam,32826,3
9,Burgess Meadow,76985,12
10,Cox Dam,67285,7
11,Davis Causeway,14872,6
12,Courtney Turnpike,89693,5
13,Carlson Lights,50520,3
14,Rice Plaza,02005,4
15,Erin Plain,98920,13
16,Mack Junctions,15122,6
17,Graham Motorway,00926,2
18,Stanton Track,23917,2
19,Monica Hills,84249,7
20,Eric Track,21675,2
21,Carol Overpass,03053,6
22,Sarah Wells,40807,14
23,Brian Wells,74865,6
24,Christopher Oval,09572,10
25,David Mountains,72564,5
